time_hours,T_2.0m,T_15.0m,T_40.0m,T_70.0m,T_95.0m
0.000,27.6078,27.5723,22.7051,17.9837,17.9159
1.000,27.4369,27.4982,22.7352,18.0540,17.9724
2.000,27.4575,27.4573,22.7880,18.0386,18.0552
3.000,27.5439,27.5104,22.7431,17.9889,18.0545
4.000,27.5330,27.5002,22.7235,18.0310,18.0805
5.000,27.5072,27.5073,22.8321,17.9647,17.9612
6.000,27.5852,27.5817,22.7426,18.0206,17.9974
7.000,27.4515,27.6175,22.7408,17.9854,17.9802
8.000,27.4780,27.5657,22.7453,17.9274,18.0222
9.000,27.4243,27.5426,22.7449,18.0860,18.0183
10.000,27.4488,27.5488,22.8004,18.0002,18.0386
11.000,27.4130,27.5834,22.6841,17.9978,18.0858
12.000,27.3395,27.6325,22.8560,18.0196,18.0556
13.000,27.3559,27.5930,22.7911,18.0336,18.0599
14.000,27.2074,27.7093,22.8450,18.0684,17.9680
15.000,27.3008,27.6640,22.7171,17.9957,17.9712
16.000,27.3380,27.6249,22.7884,17.9376,18.0519
17.000,27.2172,27.5966,22.8392,18.0371,17.8973
18.000,27.3383,27.5875,22.7529,18.0217,17.9836
19.000,27.2914,27.6343,22.8189,17.9483,17.9664
20.000,27.3108,27.6166,22.7217,18.0434,18.0506
21.000,27.3815,27.6702,22.7776,18.0036,17.9393
22.000,27.4053,27.6566,22.6885,17.9816,17.9746
23.000,27.2573,27.6983,22.7984,18.0294,17.9152
24.000,27.3282,27.7276,22.7812,17.9834,17.9785
25.000,27.4660,27.6976,22.7964,17.8660,17.9914
26.000,27.3778,27.7075,22.8395,18.0433,17.9812
27.000,27.4100,27.7379,22.7486,18.0482,17.9330
28.000,27.4916,27.6788,22.8448,18.0210,17.9962
29.000,27.4835,27.7953,22.8096,17.9656,17.9255
30.000,27.5176,27.7414,22.8238,18.0706,17.9873
31.000,27.5343,27.8150,22.8087,18.0374,17.9684
32.000,27.3959,27.7378,22.8110,18.0181,17.9907
33.000,27.4409,27.6237,22.7841,17.9747,18.0553
34.000,27.4199,27.8149,22.8713,18.0664,18.0851
35.000,27.3889,27.7659,22.8270,17.9340,17.9616
36.000,27.4901,27.7352,22.8376,17.9754,17.8955
37.000,27.3477,27.7654,22.7711,18.0021,18.0083
38.000,27.3841,27.7746,22.7411,18.0052,17.9689
39.000,27.3427,27.7339,22.7408,18.0348,17.9779
40.000,27.2953,27.8424,22.7347,17.9968,17.9476
41.000,27.3173,27.6938,22.8130,18.0200,17.9834
42.000,27.2839,27.7669,22.7915,18.1045,18.0801
43.000,27.3678,27.7703,22.8342,17.9448,17.9849
44.000,27.3390,27.7243,22.7675,18.0046,18.0507
45.000,27.3503,27.8284,22.8169,18.0374,18.0733
46.000,27.3477,27.7785,22.7561,17.9852,18.0122
47.000,27.4109,27.7539,22.8177,17.9969,17.9934
48.000,27.4185,27.7693,22.8348,18.0794,18.0302
49.000,27.5143,27.7524,22.7423,17.9994,18.0263
50.000,27.4264,27.8060,22.7804,18.0818,17.9500
51.000,27.4871,27.8895,22.8123,18.0872,18.0662
52.000,27.4429,27.7984,22.7811,18.0753,18.0050
53.000,27.4831,27.7916,22.8970,17.8799,17.9945
54.000,27.5029,27.8517,22.7770,18.0869,17.9754
55.000,27.5326,27.8598,22.8490,18.0244,18.0635
56.000,27.5410,27.8494,22.7971,18.0566,18.0004
57.000,27.6003,27.7826,22.8233,18.0671,17.9964
